Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_46_795.jpg;-12.38799;0;0;0;100.4851;85.96935;0.0002353818;255.747;3.567592E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_46_839.jpg;-9.905018;0;0;0;100.4851;85.96935;0.0002363738;253.9641;3.580007E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_46_882.jpg;-7.258983;0;0;0;100.4851;85.96935;0.0002372157;253.093;3.440991E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_46_930.jpg;-4.63681;0;0;0;100.4851;85.96935;0.00023877;252.5366;3.066227E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_46_974.jpg;-1.808902;0;0;0;100.4851;85.96935;0.0002402395;252.3195;2.545633E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_020.jpg;0.8777779;0;0;0;100.4851;85.96935;0.0002424896;252.4775;1.49553E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_064.jpg;3.559839;0;0;0;100.4851;85.96935;0.000243793;252.9047;7.893475E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_109.jpg;6.260965;0;0;0;100.4851;85.96935;0.0002449475;253.656;8.098903E-08
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_155.jpg;9.005198;0;0;0;100.4851;85.96935;0.0002451217;254.7366;-9.230042E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_200.jpg;11.69126;0;0;0;100.4851;85.96935;0.0002454329;256.8411;-2.291261E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_245.jpg;14.4105;0;0;0;100.4851;85.96935;0.0002450008;258.5704;-3.246074E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_290.jpg;15;0;0;0;100.4851;85.96935;0.0002430715;260.3704;-4.269935E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_336.jpg;15;0;0;0;100.4851;85.96935;0.0002411453;262.1703;-5.048847E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_379.jpg;15;0;0;0;100.4851;85.96935;0.0002386163;264.8704;-6.113359E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_424.jpg;15;0;0;0;100.4851;85.96935;0.000236363;266.6703;-6.547919E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_465.jpg;15;0;0;0;100.4851;85.96935;0.0002346802;268.4703;-7.032975E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_509.jpg;15;0;0;0;100.4851;85.96935;0.0002326926;270.2704;-7.408253E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_552.jpg;12.34929;0;0;0;100.4851;85.96935;0.0002323731;271.7523;-7.593816E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_592.jpg;9.838278;0;0;0;100.4851;85.96935;0.0002324851;272.9329;-7.627418E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_634.jpg;7.41712;0;0;0;100.4851;85.96935;0.0002336952;273.8229;-7.505134E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_676.jpg;4.933637;0;0;0;100.4851;85.96935;0.0002345287;274.4149;-7.219975E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_716.jpg;2.4442;0;0;0;100.4851;85.96935;0.000234331;274.7083;-6.78993E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_799.jpg;-2.306563;0;0;0;100.4851;85.96935;0.0002362919;274.2978;-4.970133E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_879.jpg;-7.190011;0;0;0;100.4851;85.96935;0.0002394964;272.7118;-2.935108E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_919.jpg;-9.714781;0;0;0;100.4851;85.96935;0.0002392707;271.546;-1.739027E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_47_966.jpg;-7.265936;0;0;0;100.4851;85.96935;0.0002402924;270.6741;-8.33669E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_044.jpg;-12.35753;0;0;0;100.4851;85.96935;0.0002416459;267.9873;1.268373E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_086.jpg;-9.915975;0;0;0;100.4851;85.96935;0.0002402788;266.7974;2.072644E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_127.jpg;-7.393181;0;0;0;100.4851;85.96935;0.0002397107;265.9102;2.782016E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_210.jpg;-7.333447;0;0;0;100.4851;85.96935;0.0002361022;264.4374;4.022538E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_292.jpg;-7.505671;0;0;0;100.4851;85.96935;0.0002343732;262.3488;4.923086E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_334.jpg;-4.955473;0;0;0;100.4851;85.96935;0.0002331835;261.7542;5.148754E-05
